THY70,330,16:15:33,VHHH,76.2
HDA227,350,12:07:09,VHHH,222.7
JJA2101,340,12:23:12,VHHH,209.8
ANA875,340,12:25:33,VHHH,178.6
HDA901,330,15:59:09,VHHH,76.2
CRK657,330,16:52:09,VHHH,209.8
CRK217,350,16:35:38,VHHH,148.2
EVA855,350,15:41:12,VHHH,178.6
FIN99,340,14:36:17,VHHH,76.2
HDA455,350,19:27:09,VHHH,209.8
JNA113,340,11:44:43,VHHH,192.8
CCA103,340,12:25:59,VHHH,76.2
ESR931,340,11:20:12,VHHH,192.8
CRK343,350,17:24:16,VHHH,76.2
DLH730,340,15:51:09,VHHH,76.2
HKE1013,350,17:36:06,VHHH,192.8
CPA543,330,13:52:28,VHHH,209.8
CCA109,330,16:17:18,VHHH,76.2
CSZ9095,340,15:44:10,VHHH,76.2
CPA238,330,12:45:52,VHHH,76.2
HKE2805,350,21:05:45,VHHH,209.8
SAA286,330,07:21:19,VHHH,167
HKE1845,350,22:43:25,VHHH,192.8
CPA382,330,05:47:21,VHHH,76.2
QTR818,340,14:25:49,VHHH,76.2
HKE183,350,15:38:39,VHHH,192.8
CPA696,330,06:42:28,VHHH,76.2
CRK170,350,14:55:00,VHHH,167
ETH673,350,23:25:42,VHHH,192.8
VNL303,350,13:45:24,VHHH,192.8
CPA401,330,20:39:21,VHHH,192.8
CPA807,330,19:39:14,VHHH,76.2
HDA441,350,13:42:04,VHHH,209.8
AIQ515,350,08:48:43,VHHH,187.8
CRK611,330,12:32:32,VHHH,192.8
CPA347,330,13:15:26,VHHH,76.2
CES595,350,15:36:10,VHHH,131.2
CPA539,330,19:38:45,VHHH,209.8
CRK613,330,02:08:21,VHHH,209.8
CPA885,330,18:32:43,VHHH,192.8
HKE871,350,20:57:41,VHHH,209.8
CPA859,340,14:25:41,VHHH,209.8
AIC317,350,15:45:21,VHHH,192.8
HDA615,330,21:56:18,VHHH,131.2
CRK697,330,18:55:41,VHHH,209.8
MDA1831,340,19:04:11,VHHH,209.8
FIN101,340,08:02:16,VHHH,76.2
KAL601,330,16:06:25,VHHH,192.8
HDA209,350,21:31:04,VHHH,222.7
HDA213,350,15:57:29,VHHH,167
CAL919,340,17:59:21,VHHH,209.8
CCA419,340,16:49:21,VHHH,76.2
CPA918,340,19:16:27,VHHH,230.1
UBA8027,340,12:48:27,VHHH,167
HDA619,330,14:22:47,VHHH,148.2
HDA734,330,21:43:41,VHHH,222.7
HDA249,350,13:28:55,VHHH,222.7
CSH845,330,17:15:22,VHHH,131.2
CPA597,330,11:46:52,VHHH,209.8
JCC691,350,17:19:08,VHHH,222.7
HDA233,350,21:10:03,VHHH,167
CPA750,340,14:45:26,VHHH,167
CPA507,330,20:04:22,VHHH,209.8
CPA521,330,20:16:45,VHHH,192.8
CPA533,330,12:03:02,VHHH,192.8
CPA469,330,11:33:47,VHHH,192.8
HDA853,350,14:14:15,VHHH,76.2
